2024-11-26 16:14:33 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:34 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:35 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:36 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:38 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:38 [INFO] No data for KOSDAQ on 20101016
2024-11-26 16:14:38 [INFO] No data for KOSDAQ on 20101017
2024-11-26 16:14:39 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:40 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:41 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:42 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:42 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:43 [INFO] No data for KOSDAQ on 20101023
2024-11-26 16:14:43 [INFO] No data for KOSDAQ on 20101024
2024-11-26 16:14:44 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:45 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:46 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:47 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:48 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:48 [INFO] No data for KOSDAQ on 20101030
2024-11-26 16:14:48 [INFO] No data for KOSDAQ on 20101031
2024-11-26 16:14:49 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:50 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:51 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:52 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:53 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:14:54 [INFO] No data for KOSDAQ on 20101106
2024-11-26 16:15:09 [INFO] No data for KOSDAQ on 20101107
2024-11-26 16:15:11 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:12 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:13 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:15 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:16 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:17 [INFO] No data for KOSDAQ on 20101113
2024-11-26 16:15:17 [INFO] No data for KOSDAQ on 20101114
2024-11-26 16:15:18 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:19 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:21 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:23 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:26 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:26 [INFO] No data for KOSDAQ on 20101120
2024-11-26 16:15:26 [INFO] No data for KOSDAQ on 20101121
2024-11-26 16:15:27 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:29 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:30 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:31 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:32 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:33 [INFO] No data for KOSDAQ on 20101127
2024-11-26 16:15:33 [INFO] No data for KOSDAQ on 20101128
2024-11-26 16:15:34 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:35 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:36 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:37 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:38 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:38 [INFO] No data for KOSDAQ on 20101204
2024-11-26 16:15:38 [INFO] No data for KOSDAQ on 20101205
2024-11-26 16:15:40 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:41 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:42 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:43 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:44 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:44 [INFO] No data for KOSDAQ on 20101211
2024-11-26 16:15:44 [INFO] No data for KOSDAQ on 20101212
2024-11-26 16:15:45 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:46 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:47 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:48 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:49 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:15:49 [INFO] No data for KOSDAQ on 20101218
2024-11-26 16:15:49 [INFO] No data for KOSDAQ on 20101219
2024-11-26 16:15:51 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:16:11 [ERROR] Error processing KOSDAQ on 20101221: HTTPConnectionPool(host='data-dbg.krx.co.kr', port=80): Max retries exceeded with url: /svc/apis/sto/ksq_bydd_trd?basDd=20101221 (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x7792838d0b00>: Failed to resolve 'data-dbg.krx.co.kr' ([Errno -3] Temporary failure in name resolution)"))
2024-11-26 16:16:12 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:16:13 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:16:14 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:16:14 [INFO] No data for KOSDAQ on 20101225
2024-11-26 16:16:14 [INFO] No data for KOSDAQ on 20101226
2024-11-26 16:16:15 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:16:16 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:16:17 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:16:18 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:16:18 [INFO] No data for KOSDAQ on 20101231
2024-11-26 16:16:19 [INFO] No data for KONEX on 20100816
2024-11-26 16:16:19 [INFO] No data for KONEX on 20100817
2024-11-26 16:16:19 [INFO] No data for KONEX on 20100818
2024-11-26 16:16:19 [INFO] No data for KONEX on 20100819
2024-11-26 16:16:19 [INFO] No data for KONEX on 20100820
2024-11-26 16:16:19 [INFO] No data for KONEX on 20100821
2024-11-26 16:16:20 [INFO] No data for KONEX on 20100822
2024-11-26 16:16:20 [INFO] No data for KONEX on 20100823
2024-11-26 16:16:20 [INFO] No data for KONEX on 20100824
2024-11-26 16:16:20 [INFO] No data for KONEX on 20100825
2024-11-26 16:16:20 [INFO] No data for KONEX on 20100826
2024-11-26 16:16:20 [INFO] No data for KONEX on 20100827
2024-11-26 16:16:20 [INFO] No data for KONEX on 20100828
2024-11-26 16:16:21 [INFO] No data for KONEX on 20100829
2024-11-26 16:16:21 [INFO] No data for KONEX on 20100830
2024-11-26 16:16:21 [INFO] No data for KONEX on 20100831
2024-11-26 16:16:21 [INFO] No data for KONEX on 20100901
2024-11-26 16:16:21 [INFO] No data for KONEX on 20100902
2024-11-26 16:16:21 [INFO] No data for KONEX on 20100903
2024-11-26 16:16:21 [INFO] No data for KONEX on 20100904
2024-11-26 16:16:22 [INFO] No data for KONEX on 20100905
2024-11-26 16:16:22 [INFO] No data for KONEX on 20100906
2024-11-26 16:16:22 [INFO] No data for KONEX on 20100907
2024-11-26 16:16:22 [INFO] No data for KONEX on 20100908
2024-11-26 16:16:22 [INFO] No data for KONEX on 20100909
2024-11-26 16:16:22 [INFO] No data for KONEX on 20100910
2024-11-26 16:16:23 [INFO] No data for KONEX on 20100911
2024-11-26 16:16:23 [INFO] No data for KONEX on 20100912
2024-11-26 16:16:23 [INFO] No data for KONEX on 20100913
2024-11-26 16:16:23 [INFO] No data for KONEX on 20100914
2024-11-26 16:16:23 [INFO] No data for KONEX on 20100915
2024-11-26 16:16:23 [INFO] No data for KONEX on 20100916
2024-11-26 16:16:23 [INFO] No data for KONEX on 20100917
2024-11-26 16:16:23 [INFO] No data for KONEX on 20100918
2024-11-26 16:16:24 [INFO] No data for KONEX on 20100919
2024-11-26 16:16:24 [INFO] No data for KONEX on 20100920
2024-11-26 16:16:24 [INFO] No data for KONEX on 20100921
2024-11-26 16:16:24 [INFO] No data for KONEX on 20100922
2024-11-26 16:16:24 [INFO] No data for KONEX on 20100923
2024-11-26 16:16:24 [INFO] No data for KONEX on 20100924
2024-11-26 16:16:25 [INFO] No data for KONEX on 20100925
2024-11-26 16:16:25 [INFO] No data for KONEX on 20100926
2024-11-26 16:16:25 [INFO] No data for KONEX on 20100927
2024-11-26 16:16:25 [INFO] No data for KONEX on 20100928
2024-11-26 16:16:25 [INFO] No data for KONEX on 20100929
2024-11-26 16:16:26 [INFO] No data for KONEX on 20100930
2024-11-26 16:16:26 [INFO] No data for KONEX on 20101001
2024-11-26 16:16:26 [INFO] No data for KONEX on 20101002
2024-11-26 16:16:26 [INFO] No data for KONEX on 20101003
2024-11-26 16:16:26 [INFO] No data for KONEX on 20101004
2024-11-26 16:16:27 [INFO] No data for KONEX on 20101005
2024-11-26 16:16:27 [INFO] No data for KONEX on 20101006
2024-11-26 16:16:27 [INFO] No data for KONEX on 20101007
2024-11-26 16:16:27 [INFO] No data for KONEX on 20101008
2024-11-26 16:16:27 [INFO] No data for KONEX on 20101009
2024-11-26 16:16:28 [INFO] No data for KONEX on 20101010
2024-11-26 16:16:28 [INFO] No data for KONEX on 20101011
2024-11-26 16:16:28 [INFO] No data for KONEX on 20101012
2024-11-26 16:16:28 [INFO] No data for KONEX on 20101013
2024-11-26 16:16:28 [INFO] No data for KONEX on 20101014
2024-11-26 16:16:29 [INFO] No data for KONEX on 20101015
2024-11-26 16:16:29 [INFO] No data for KONEX on 20101016
2024-11-26 16:16:29 [INFO] No data for KONEX on 20101017
2024-11-26 16:16:29 [INFO] No data for KONEX on 20101018
2024-11-26 16:16:29 [INFO] No data for KONEX on 20101019
2024-11-26 16:16:29 [INFO] No data for KONEX on 20101020
2024-11-26 16:16:29 [INFO] No data for KONEX on 20101021
2024-11-26 16:16:30 [INFO] No data for KONEX on 20101022
2024-11-26 16:16:30 [INFO] No data for KONEX on 20101023
2024-11-26 16:16:30 [INFO] No data for KONEX on 20101024
2024-11-26 16:16:30 [INFO] No data for KONEX on 20101025
2024-11-26 16:16:30 [INFO] No data for KONEX on 20101026
2024-11-26 16:16:30 [INFO] No data for KONEX on 20101027
2024-11-26 16:16:30 [INFO] No data for KONEX on 20101028
2024-11-26 16:16:30 [INFO] No data for KONEX on 20101029
2024-11-26 16:16:31 [INFO] No data for KONEX on 20101030
2024-11-26 16:16:31 [INFO] No data for KONEX on 20101031
2024-11-26 16:16:31 [INFO] No data for KONEX on 20101101
2024-11-26 16:16:31 [INFO] No data for KONEX on 20101102
2024-11-26 16:16:31 [INFO] No data for KONEX on 20101103
2024-11-26 16:16:31 [INFO] No data for KONEX on 20101104
2024-11-26 16:16:31 [INFO] No data for KONEX on 20101105
2024-11-26 16:16:31 [INFO] No data for KONEX on 20101106
2024-11-26 16:16:31 [INFO] No data for KONEX on 20101107
2024-11-26 16:16:32 [INFO] No data for KONEX on 20101108
2024-11-26 16:16:32 [INFO] No data for KONEX on 20101109
2024-11-26 16:16:32 [INFO] No data for KONEX on 20101110
2024-11-26 16:16:32 [INFO] No data for KONEX on 20101111
2024-11-26 16:16:32 [INFO] No data for KONEX on 20101112
2024-11-26 16:16:32 [INFO] No data for KONEX on 20101113
2024-11-26 16:16:32 [INFO] No data for KONEX on 20101114
2024-11-26 16:16:32 [INFO] No data for KONEX on 20101115
2024-11-26 16:16:32 [INFO] No data for KONEX on 20101116
2024-11-26 16:16:33 [INFO] No data for KONEX on 20101117
2024-11-26 16:16:33 [INFO] No data for KONEX on 20101118
